company_name,website_url,location,lead_score,priority_level,qualification_reasons,lead_insight,ai_recommendation,has_business_email,has_phone,has_linkedin,has_founder,has_ceo,decision_makers_count
IT Genesis -- The Best Software House in Lahore | The Best Software Company in Lahore | Software House in Lahore,http://www.itgenesis.net/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 4 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
Intelliscence - Software Development Company / Software House,https://www.intelliscence.com/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 29 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
IT Genesis - - Software House in Lahore - - Software company in Lahore / Software house in Gulberg,https://itgenesis.net/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 4 employees | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, Website Redesign",True,True,True,False,False,0.0
REX Technologies | Software Company in Lahore,https://www.rextech.pk/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
DevsSpace IT Services (Private) Limited,https://devsspace.com/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 26 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"AI Chatbot Integration, AI Chatbot",True,True,True,False,False,0.0
Tafsol Technologies (Private) Limited,https://tafsol.ai/,"Karachi, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | Company size 172 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, AI Chatbot Integration",True,True,True,False,False,0.0
Contour Software (Pvt) Ltd.,https://contour-software.com/,"Karachi, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"UI/UX Design & Branding, SEO Optimization, Business Automation",True,True,True,False,False,0.0
First Idea Web Development (Pvt) Ltd. Domain Hosting Company | Web Development Software House,https://firstideaweb.com/,"Lahore, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | Company size 49 > 20 employees (+10) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, Business Automation, AI Chatbot Integration",True,True,True,False,False,1.0
DIGITALSOFTS - Enterprise Software Company,https://www.digitalsofts.com/,"Faisalabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | LinkedIn company found (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Automation detected (+5),LinkedIn presence confirmed — verified company. Email communication channel available. Phone contact available,"SEO Optimization, AI Chatbot Integration, AI Chatbot",True,True,True,False,False,1.0
M5HOST WEB DEVELOPMENT COMPANY ISLAMABAD,https://m5host.com/,"Islamabad, Pakistan",100.0,High,Website available (+10) | Business email found (+10) | Contact email found (+10) | Phone number found (+10) | Contact form exists (+10) | Managing Director found (+5) | Priority country (+20) | SSL certificate (+5) | Blog exists (+5) | Social media links (+5) | Mobile app detected (+5) | AI features detected (+5) | Live chat detected (+5),Email communication channel available. Phone contact available. Located in priority market,"UI/UX Design & Branding, SEO Optimization, Business Automation",True,True,False,False,False,1.0
